,Unnamed: 0,Job Role,Company,Job_Description,id
0,0,ai  ml engineer,accenture in india,"project role  ai  ml engineer

project role description  develops applications and systems that utilize ai tools cloud ai services with proper cloud or onprem application pipeline with production ready quality be able to apply genai models as part of the solution could also include but not limited to deep learning neural networks chatbots image processing

must have skills  r programming

good to have skills  na

minimum 3 years of experience is required

educational qualification  be

summary as an application designer you will be responsible for assisting in defining requirements and designing applications to meet business process and application requirements using r programming your typical day will involve collaborating with crossfunctional teams analyzing data and designing applications to meet business requirements roles  responsibilities  collaborate with crossfunctional teams to define requirements and design applications to meet business process and application requirements using r programming  analyze data to identify trends and patterns and design applications to meet business requirements  develop and maintain technical documentation related to application design and development  provide technical guidance and support to team members and stakeholders professional  technical skills  must to have skills proficiency in r programming  good to have skills experience with python programming language  strong understanding of software development life cycle sdlc and software engineering principles  experience in designing and developing applications using r programming  experience in data analysis and visualization using r programming  experience in developing technical documentation related to application design and development additional information  the candidate should have a minimum of 3 years of experience in r programming  the ideal candidate will possess a strong educational background in computer science or a related field along with a proven track record of delivering impactful datadriven solutions  this position is based at our pune office

be",0
2,2,business development manager,jio platforms limited jpl,"this position will help in growing rcs business will be responsible for getting new clients and pitching new use cases relationship building for getting more business  responsibilitiesresponsible for the acquiring clienteles be able to add value in client relationships and drive growth quota acts as a trusted advisor providing strategic guidance and a path to value to customer executive leadership and internal account teams demonstrating crossfunctional collaborationbring expertise and experience to ensure the right governance model to lead a digital change ensure business value and objectives are createdcollaborate between jio and all members of the clients team to ensure the seamless support of team level strategic initiatives 
qualifications
bachelors degree or equivalent experienceprofessionals with 37 years in the b2benterprise segmentpreferred saas cpaas telecom cloud backgroundexperience of 5 to 10 yearsstrong communication and interpersonal skillsproven knowledge and execution of successful development strategiesfocused and goaloriented",2
4,4,intern  software engineer,payu,"role intern  software engineer

location gurgaonbengaluru

requirements

software development assist in the design development testing and deployment of software solutions under the guidance of senior developers coding and debugging write clean efficient and maintainable code while troubleshooting and debugging software issues  documentation create and maintain technical documentation such as design specifications user manuals and test plans  collaboration collaborate with crossfunctional teams including developers designers and product managers to deliver highquality software solutions  research and innovation stay updated on emerging technologies and industry trends and actively participate in discussions on potential enhancements or innovations  testing and quality assurance assist in testing software applications to ensure they meet quality standards and functional requirements  continuous learning take initiative in learning new technologies tools and methodologies to enhance technical skills and contribute effectively to projects adaptability adapt to changing project requirements and priorities and contribute positively to team goals and objectives 

qualifications

currently pursuing a bachelors or masters degree in computer science software engineering or a related field  proficiency in one or more programming languages such as java golang python c etc  strong problemsolving skills and attention to detail excellent communication and interpersonal skills ability to work independently as well as collaboratively in a team environment  passion for technology and eagerness to learn and grow in a dynamic work environment",4
5,5,data scientist,jio platforms limited jpl,"jio ads platform serves advertisements across various publishers and enable advertisers to boost their revenue the inhouse built ads platform is continuously evolving with innovation and features bringing in data driven intelligence capitalizing on large data sets are the various ml models that ensure that ads users see are always relevant
skills requireddata science mathematics statistics linear algebra calculus probability python java tensorflow pytorch pyspark scikitlearn analytical skills

responsibilitiesto write writemodify models for the dataset available and achieve the use cases expected for commercial products in jioads platform contribute hands on and also cowork with multiple stakeholders to ensure the models address the business needed closely working with technical lead and product manager work with other data scientist and data engineers to ensure regular rollout of feature has tangible value to customers of jioads platform
qualificationsdegree in computer science with strong understanding of mathematical concepts",5
6,6,machine learning engineer,ap moller  maersk,"job summary

do you want to be part of transforming maersk using data science in the role as a data scientist you will be part of a crossfunctional fast paced development team that produces data science solutions linked to our inland network and warehouses to find patterns identify trends and provide recommendations that will enable the business to make data driven decisions to improve our warehouse operations

for this role we are seeking an experienced data scientist with handson experience in analysing complex data sets  developing machine learning and optimization models and good experience with building application using llms and document ai the ideal candidate will have strong analytical skills a solid understanding of ml algorithms and experience working with large language models

key responsibilities

analyse large and complex data sets using statistical techniques and machine learning algorithmsdevelop timeseries models and predictive models using various machine learning techniques such as regression clustering classification and neural networksexperience with building application using openai and opensource large language models llmexperience working on document parsing problems using opensource toolsmodels document aidevelop and validate models to optimize warehouse operationscollaborate with crossfunctional teams to design and implement datadriven solutionsextract clean and transform raw data from multiple sources for analysiscontinuously monitor and improve the performance of predictive modelsstay up to date with the latest trends and technologies in data science and machine learning

essential qualifications

msc degree in computer science statistics mathematics operational research or a related field and at least 2 years of working experiencestrong programming skills in objectoriented programming knowledge of sql and version control softwareexperience with machine learning libraries such as scikitlearn xgboost catboost pytorch and transformersstrong analytical skills and the ability to work with large and complex data setsexcellent communication skills and the ability to work in crossfunctional teams

the ideal candidate also has the following experience

experience working with genai and document aiexperience with cloud deployment of batch models using eg docker mlflow and k8experience with supply chain management logistics and warehouse operations is plusexperience implementing one or more optimization algorithms like genetic simulated annealing ant colony linear programming mixed integer programming particle swarm etc

maersk is committed to a diverse and inclusive workplace and we embrace different styles of thinking maersk is an equal opportunities employer and welcomes applicants without regard to race colour gender sex age religion creed national origin ancestry citizenship marital status sexual orientation physical or mental disability medical condition pregnancy or parental leave veteran status gender identity genetic information or any other characteristic protected by applicable law we will consider qualified applicants with criminal histories in a manner consistent with all legal requirements

we are happy to support your need for any adjustments during the application and hiring process if you need special assistance or an accommodation to use our website apply for a position or to perform a job please contact us by emailing accommodationrequestsmaerskcom",6
7,7,machine learning engineer,vybe cabs,"company description
vybe cabs is an innovative urban mobility startup focused on redefining transportation in india our mission is to revolutionize urban mobility by prioritizing safety community engagement and cuttingedge technology we offer unique features such as womenonly rides and realtime safety alerts to ensure the wellbeing of both drivers and passengers our goal is to provide reliable secure and personalized transportation solutions that meet customer needs and contribute to community wellbeing
role description
 design and implement machine learning solutions to address business needs build and maintain high availability low latency model systems focusing on model development reliability testing and observability conduct full life cycle model development including designing implementing and validating machine learning models along with model optimization and monitoring postproduction performance design adverse action reasons for machine learning models performing risk estimations design adverse action reasons for machine learning models performing risk estimations implement various model metrics and validation measures including outoftime and intime validation of behavioral models design and implement systems by optimizing model hyperparameter tuning processes and satisfying model validation needs perform data cleaning wrangling feature engineering and feature selection for statistical models and more advanced machine learning techniques collaborate with regulations including both internal model governance and external model regulators to ensure models and machine learning solutions strictly adhere to the desired level of model regulations
qualifications
experience in pattern recognition computer science and statisticsstrong understanding of neural networks and algorithmsproficiency in programming languages such as python or rexperience with machine learning frameworks such as tensorflow or pytorchexperience with data preprocessing feature engineering and model evaluationknowledge of data visualization techniquesexcellent problemsolving and analytical skillsstrong communication and collaborative abilitiesbachelors or masters degree in computer science statistics or a related fieldexperience in the transportation industry is a plus",7
10,10,data scientist,amdocs,"development and maintenance of productionready mlpowered software
responsibilitiesmachine learning engineer job description1 develop mlpowered solutions application components11 data pipeline12 code optimization incl all relevant integration points13 packaging14 installation scripts15 configuration items2 map and evaluate mlops gaps in the solution develop solutions when required ctcm21 model monitoring datamodel drift22 model scheduling23 model versioning24 solution scaling25 code refactoring3 support mlpowered solutions implementations31 model tuning modifications and enhancements following user feedback32 quantitive value realization33 collect requirements from the field4 genai knowledge and practical experience5 lead solution architecture activities and finalize with designated solution architect6 when applicable develop preproduction evaluation services7 lead application testing ut st ft nft efforts8 design and support the solutions cicd pipeline including embedded automated tests9 extend and introduce new mlml ops tools libraries and frameworks10 research and implement ml algorithms and tools
technical skillsrelevant experience required 26 yearsproficient in python programming language ability to write robust codesolid software engineering skills  familiarity with the agile methodology modern approaches containerization and container orchestration cicd pipelinesfamiliarity with the python data science stack  eg scikitlearn pandas tensorflow  keras  pytorchhands on experience working on unixlinux environmentshands on experience with building e2e ml pipeline  business understanding eda data preparation modeling and evaluationexperience with azure  significant advantagedeep knowledge of math probability statistics and algorithms  advantageexperience with large languagemultimodal models  advantageoutstanding analytical and problemsolving skills",10
11,11,interesting job opportunity data engineer  rsqlpython,huquo,"job responsibilities

 emphasis on endtoend delivery of analysis and guiding junior staff contribute to how analytical approach is structured for specification of analysis use variety of analytical tools sqlsas rpython tableaupower bi for insight generation  enabling the client with data driven decision making reformulate highly technical information into concise  understandable terms for presentations

skills required

 masters or bachelors degree in math statistics economics computer science or analytics related field from toptier universities 27 years of consulting analytics delivery experience handson experience of analytics tools sql rpython is a must very strong analytical skills with the demonstrated ability to research  make decisions based on the daytoday and complex customer problems

refhiristtech",11
12,12,junior data scientist,ab inbev gcc india,"ab inbev gcc was incorporated in 2014 as a strategic partner for anheuserbusch inbev the center leverages the power of data and analytics to drive growth for critical business functions such as operations finance people and technology the teams are transforming operations through tech and analytics
do you dream bigwe need you
job title junior data scientistlocation bangalorereporting to manager analytics senior manageranalytics
1purpose of the roleanheuserbusch inbev ab inbevs logistics analytics team is responsible for transforming the companys supply chain by embedding intelligence across key process areas in inventory planning transportation  warehousingas an associate data scientist you will work at the intersection ofmaking actionable insights out of large sets of diverse datadeveloping and deploying mlai models models using cuttingedge data science algorithmstesting and evaluating model performance based on statistical test
2key tasks and accountabilitiesyou will collaborate with product owners from business functions to translate business problem into data science use caseyou are expected to explore and develop mlai algorithms to solve new business problem or improve the existing methodology model accuracy etcyou will work on building code that will deploy into production using code design and style standardsyou will document your thought process and create artefacts on team repowiki that can be used to share with business and engineering for signoffyou will significantly improve the performance and reliability of our code that create high quality and reproducible resultsyou will collaborate with other team members to advance teams ability to ship high quality code fastyou will maintain basic developer hygiene that includes but not limited to writing tests using loggers readme to name a few
3 qualifications experience skillsacademic degree in but not limited to bachelors or masters in engineering cs btechbe masters in data science statistics applied mathematics mathematics economics etcminimum 1 3 years of relevant experience in analytics  data science  building ml modelspreferred industry exposure  cpg or supply chain domain  capability of successfully deploying analytics solutions and products for internal or external clientslanguage skills required  english fluent
you should have expertise in followinghandson experience in data manipulation using excel python sqlexpert level proficiency in pythonknowledge of objectoriented design concepts  able to write endtoend ml or data pipelines in pythonproficient in application of one or more and has exposure to others  ml concepts like regression classification clustering time series forecasting and optimization techniques to solve endtoend business problemfamiliarity with azure tech stack databricks ml flow in any cloud platform
other skills requiredpassion for solving problems using datadetail oriented analytical and inquisitiveability to learn on the goability to effectively communicate and present information at various levels of an organizationability to work independently and with others
and above all of this an undying love for beerwe dream big to create future with more cheers",12
13,13,interesting job opportunity machine learning engineer  pythondata modeling,huquo,"roles  responsibilities

 design implement test deploy and maintain innovative data and machine learning solutions to accelerate our business create experiments and prototype implementations of new learning algorithms and prediction techniques collaborate with product managers and stockholders to design and implement software solutions for science problems use machine learning best practices to ensure a high standard of quality for all of the team deliverables has experience working on unstructured data text  text cleaning tfidf text vectorization text classification using any of the following  decision trees knn classification support vector machines neural networks or lda 2 years of practical experience applying ml to solve complex problems in an applied environment 2 years handson experience in python sql or other similar languages proficiency in model development model validation and model implementation for largescale applications ability to convey mathematical results to nonscience stakeholders strength in clarifying and formalizing complex problems superior verbal and written communication and presentation skills ability to convey rigorous mathematical concepts and considerations to nonexperts

refhiristtech",13
